 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                     
SET: rps=115.5 (overall: 218.5) avg_msec=2999.296 (overall: 2048.018)
                                                                      
SET: rps=1476.0 (overall: 242.2) avg_msec=2999.296 (overall: 2156.896)
                                                                       
SET: rps=677.3 (overall: 250.2) avg_msec=2999.296 (overall: 2199.090)
                                                                      
SET: rps=456.0 (overall: 253.9) avg_msec=2999.296 (overall: 2225.095)
                                                                      
SET: rps=462.2 (overall: 257.6) avg_msec=2982.316 (overall: 2249.332)
                                                                      
SET: rps=350.6 (overall: 259.3) avg_msec=2811.584 (overall: 2262.662)
                                                                      
SET: rps=290.8 (overall: 259.8) avg_msec=2401.946 (overall: 2265.348)
                                                                      
SET: rps=342.6 (overall: 261.2) avg_msec=1899.919 (overall: 2257.229)
                                                                      
SET: rps=290.8 (overall: 261.7) avg_msec=1804.590 (overall: 2248.851)
                                                                      
SET: rps=280.0 (overall: 262.0) avg_msec=2040.188 (overall: 2245.213)
                                                                      
SET: rps=255.0 (overall: 261.9) avg_msec=2266.336 (overall: 2245.544)
                                                                      
SET: rps=239.0 (overall: 261.5) avg_msec=2472.004 (overall: 2248.828)
                                                                      
SET: rps=251.0 (overall: 261.4) avg_msec=2689.690 (overall: 2255.439)
                                                                      
SET: rps=195.2 (overall: 260.4) avg_msec=2893.803 (overall: 2262.799)
                                                                      
SET: rps=320.0 (overall: 261.3) avg_msec=2997.709 (overall: 2276.377)
                                                                      
SET: rps=155.4 (overall: 259.7) avg_msec=2999.296 (overall: 2282.830)
                                                                      
SET: rps=215.1 (overall: 259.0) avg_msec=2999.296 (overall: 2291.577)
                                                                      
SET: rps=155.4 (overall: 257.5) avg_msec=2999.296 (overall: 2297.763)
                                                                      
SET: rps=139.4 (overall: 255.8) avg_msec=2999.296 (overall: 2303.223)
                                                                      
SET: rps=135.5 (overall: 254.1) avg_msec=2999.296 (overall: 2308.446)
                                                                      
SET: rps=123.5 (overall: 252.3) avg_msec=2999.296 (overall: 2313.141)
                                                                      
SET: rps=123.5 (overall: 250.6) avg_msec=2999.296 (overall: 2317.772)
                                                                      
SET: rps=139.4 (overall: 249.1) avg_msec=2999.296 (overall: 2322.926)
                                                                      
SET: rps=138.9 (overall: 247.6) avg_msec=2999.296 (overall: 2328.003)
                                                                      
SET: rps=168.0 (overall: 246.5) avg_msec=2999.296 (overall: 2333.995)
                                                                      
SET: rps=131.5 (overall: 245.0) avg_msec=2999.296 (overall: 2338.629)
                                                                      
SET: rps=139.4 (overall: 243.7) avg_msec=2999.296 (overall: 2343.474)
                                                                      
SET: rps=131.5 (overall: 242.3) avg_msec=2999.296 (overall: 2347.977)
                                                                      
SET: rps=107.6 (overall: 240.6) avg_msec=2999.296 (overall: 2351.616)
                                                                      
SET: rps=123.0 (overall: 239.1) avg_msec=2999.296 (overall: 2355.744)
                                                                      
SET: rps=111.6 (overall: 237.6) avg_msec=2999.296 (overall: 2359.427)
                                                                      
SET: rps=116.0 (overall: 236.1) avg_msec=2999.296 (overall: 2363.198)
                                                                      
SET: rps=155.4 (overall: 235.2) avg_msec=2999.296 (overall: 2368.199)
                                                                      
SET: rps=150.8 (overall: 234.2) avg_msec=2999.296 (overall: 2372.998)
                                                                      
SET: rps=124.0 (overall: 232.9) avg_msec=2999.296 (overall: 2376.858)
                                                                      
SET: rps=135.5 (overall: 231.8) avg_msec=2999.296 (overall: 2381.038)
                                                                      
SET: rps=103.6 (overall: 230.3) avg_msec=2999.296 (overall: 2384.197)
                                                                      
SET: rps=124.0 (overall: 229.1) avg_msec=2999.296 (overall: 2387.921)
                                                                      
SET: rps=95.6 (overall: 227.6) avg_msec=2999.296 (overall: 2390.774)
                                                                     
SET: rps=95.6 (overall: 226.2) avg_msec=2999.296 (overall: 2393.600)
                                                                     
SET: rps=87.6 (overall: 224.7) avg_msec=2999.296 (overall: 2396.167)
                                                                     
SET: rps=95.6 (overall: 223.3) avg_msec=2999.296 (overall: 2398.943)
                                                                     
SET: rps=95.6 (overall: 221.9) avg_msec=2999.296 (overall: 2401.694)
                                                                     
SET: rps=87.6 (overall: 220.5) avg_msec=2999.296 (overall: 2404.193)
                                                                     
SET: rps=104.0 (overall: 219.3) avg_msec=2999.296 (overall: 2407.121)
                                                                      
SET: rps=79.7 (overall: 217.9) avg_msec=2999.296 (overall: 2409.353)
                                                                     
SET: rps=87.6 (overall: 216.6) avg_msec=2999.296 (overall: 2411.789)
                                                                     
SET: rps=87.6 (overall: 215.2) avg_msec=2999.296 (overall: 2414.205)
                                                                     
SET: rps=87.6 (overall: 214.0) avg_msec=2999.296 (overall: 2416.601)
                                                                     
SET: rps=92.0 (overall: 212.8) avg_msec=2999.296 (overall: 2419.085)
                                                                     
SET: rps=103.6 (overall: 211.7) avg_msec=2999.296 (overall: 2421.868)
                                                                      
SET: rps=87.6 (overall: 210.5) avg_msec=2999.296 (overall: 2424.202)
                                                                     
SET: rps=96.0 (overall: 209.4) avg_msec=2999.296 (overall: 2426.726)
                                                                     
SET: rps=83.7 (overall: 208.2) avg_msec=2999.296 (overall: 2428.917)
                                                                     
SET: rps=79.7 (overall: 207.0) avg_msec=2999.296 (overall: 2430.988)
                                                                     
SET: rps=95.6 (overall: 205.9) avg_msec=2999.296 (overall: 2433.454)
                                                                     
SET: rps=107.6 (overall: 205.0) avg_msec=2999.296 (overall: 2436.202)
                                                                      
SET: rps=99.6 (overall: 204.1) avg_msec=2999.296 (overall: 2438.723)
                                                                     
SET: rps=83.3 (overall: 203.0) avg_msec=2999.296 (overall: 2440.823)
                                                                     
SET: rps=80.0 (overall: 201.9) avg_msec=2999.296 (overall: 2442.809)
                                                                     
SET: rps=79.7 (overall: 200.8) avg_msec=2999.296 (overall: 2444.781)
                                                                     
SET: rps=87.6 (overall: 199.8) avg_msec=2999.296 (overall: 2446.933)
                                                                     
SET: rps=79.7 (overall: 198.7) avg_msec=2999.296 (overall: 2448.876)
                                                                     
SET: rps=87.6 (overall: 197.8) avg_msec=2999.296 (overall: 2450.997)
                                                                     
SET: rps=91.6 (overall: 196.8) avg_msec=2999.296 (overall: 2453.197)
                                                                     
SET: rps=91.6 (overall: 195.9) avg_msec=2999.296 (overall: 2455.380)
                                                                     
SET: rps=83.7 (overall: 195.0) avg_msec=2999.296 (overall: 2457.357)
                                                                     
SET: rps=91.6 (overall: 194.1) avg_msec=2999.296 (overall: 2459.507)
                                                                     
SET: rps=87.6 (overall: 193.2) avg_msec=2999.296 (overall: 2461.547)
                                                                     
SET: rps=83.7 (overall: 192.3) avg_msec=2999.296 (overall: 2463.480)
                                                                     
SET: rps=80.0 (overall: 191.4) avg_msec=2999.296 (overall: 2465.308)
                                                                     
SET: rps=95.6 (overall: 190.6) avg_msec=2999.296 (overall: 2467.485)
                                                                     
SET: rps=91.6 (overall: 189.8) avg_msec=2999.296 (overall: 2469.555)
                                                                     
SET: rps=71.7 (overall: 188.9) avg_msec=2999.296 (overall: 2471.164)
                                                                     
SET: rps=75.7 (overall: 188.0) avg_msec=2999.296 (overall: 2472.851)
                                                                     
SET: rps=83.7 (overall: 187.2) avg_msec=2999.296 (overall: 2474.704)
                                                                     
SET: rps=79.7 (overall: 186.3) avg_msec=2999.296 (overall: 2476.457)
                                                                     
SET: rps=75.4 (overall: 185.5) avg_msec=2999.296 (overall: 2478.111)
                                                                     
SET: rps=71.7 (overall: 184.6) avg_msec=2999.296 (overall: 2479.668)
                                                                     
SET: rps=75.7 (overall: 183.8) avg_msec=2999.296 (overall: 2481.302)
                                                                     
SET: rps=79.7 (overall: 183.0) avg_msec=2999.296 (overall: 2483.010)
                                                                     
SET: rps=83.7 (overall: 182.2) avg_msec=2999.296 (overall: 2484.793)
                                                                     
SET: rps=79.7 (overall: 181.5) avg_msec=2999.296 (overall: 2486.478)
                                                                     
SET: rps=71.7 (overall: 180.6) avg_msec=2999.296 (overall: 2487.986)
                                                                     
SET: rps=75.7 (overall: 179.9) avg_msec=2999.296 (overall: 2489.568)
                                                                     
SET: rps=67.7 (overall: 179.1) avg_msec=2999.296 (overall: 2490.975)
                                                                     
SET: rps=67.7 (overall: 178.3) avg_msec=2999.296 (overall: 2492.375)
                                                                     
SET: rps=84.0 (overall: 177.6) avg_msec=2999.296 (overall: 2494.093)
                                                                     
SET: rps=63.7 (overall: 176.8) avg_msec=2999.296 (overall: 2495.394)
                                                                     
SET: rps=63.7 (overall: 176.0) avg_msec=2999.296 (overall: 2496.689)
                                                                     
SET: rps=67.7 (overall: 175.2) avg_msec=2999.296 (overall: 2498.057)
                                                                     
SET: rps=71.7 (overall: 174.5) avg_msec=2999.296 (overall: 2499.497)
                                                                     
SET: rps=68.0 (overall: 173.7) avg_msec=2999.296 (overall: 2500.850)
                                                                     
SET: rps=67.5 (overall: 173.0) avg_msec=2999.296 (overall: 2502.196)
                                                                     
SET: rps=59.8 (overall: 172.2) avg_msec=2999.296 (overall: 2503.377)
                                                                     
SET: rps=64.0 (overall: 171.5) avg_msec=2999.296 (overall: 2504.631)
                                                                     
SET: rps=59.8 (overall: 170.7) avg_msec=2999.296 (overall: 2505.801)
                                                                     
SET: rps=64.0 (overall: 170.0) avg_msec=2999.296 (overall: 2507.043)
                                                                     
SET: rps=59.8 (overall: 169.3) avg_msec=2999.296 (overall: 2508.201)
                                                                     
SET: rps=55.8 (overall: 168.5) avg_msec=2999.296 (overall: 2509.277)
                                                                     
SET: rps=67.7 (overall: 167.9) avg_msec=2999.296 (overall: 2510.578)
                                                                     
SET: rps=59.8 (overall: 167.2) avg_msec=2999.296 (overall: 2511.720)
                                                                     
SET: rps=64.0 (overall: 166.5) avg_msec=2999.296 (overall: 2512.932)
                                                                     
SET: rps=63.7 (overall: 165.8) avg_msec=2999.296 (overall: 2514.138)
                                                                     
SET: rps=67.7 (overall: 165.2) avg_msec=2999.296 (overall: 2515.413)
                                                                     
SET: rps=67.7 (overall: 164.6) avg_msec=2999.296 (overall: 2516.681)
                                                                     
SET: rps=64.0 (overall: 164.0) avg_msec=2999.296 (overall: 2517.869)
                                                                     
SET: rps=71.7 (overall: 163.4) avg_msec=2999.296 (overall: 2519.198)
                                                                     
SET: rps=55.8 (overall: 162.7) avg_msec=2999.296 (overall: 2520.227)
                                                                     
SET: rps=51.8 (overall: 162.0) avg_msec=2999.296 (overall: 2521.178)
                                                                     
SET: rps=59.8 (overall: 161.4) avg_msec=2999.296 (overall: 2522.271)
                                                                     
SET: rps=67.7 (overall: 160.8) avg_msec=2999.296 (overall: 2523.503)
                                                                     
SET: rps=67.7 (overall: 160.2) avg_msec=2999.296 (overall: 2524.730)
                                                                     
SET: rps=63.7 (overall: 159.7) avg_msec=2999.296 (overall: 2525.878)
                                                                     
SET: rps=67.7 (overall: 159.1) avg_msec=2999.296 (overall: 2527.092)
                                                                     
SET: rps=75.7 (overall: 158.6) avg_msec=2999.296 (overall: 2528.442)
                                                                     
SET: rps=79.7 (overall: 158.1) avg_msec=2999.296 (overall: 2529.854)
                                                                     
SET: rps=67.7 (overall: 157.6) avg_msec=2999.296 (overall: 2531.048)
                                                                     
SET: rps=67.7 (overall: 157.1) avg_msec=2999.296 (overall: 2532.236)
                                                                     
SET: rps=63.7 (overall: 156.5) avg_msec=2999.296 (overall: 2533.348)
                                                                     
SET: rps=67.5 (overall: 156.0) avg_msec=2999.296 (overall: 2534.524)
                                                                     
SET: rps=1568.0 (overall: 164.1) avg_msec=2999.296 (overall: 2560.087)
                                                                       
SET: rps=490.0 (overall: 166.0) avg_msec=2999.296 (overall: 2567.539)
                                                                      
SET: rps=448.0 (overall: 167.6) avg_msec=2999.296 (overall: 2574.107)
                                                                      
SET: rps=342.6 (overall: 168.6) avg_msec=2999.296 (overall: 2579.017)
                                                                      
SET: rps=378.5 (overall: 169.8) avg_msec=2999.296 (overall: 2584.310)
                                                                      
SET: rps=322.7 (overall: 170.7) avg_msec=2999.296 (overall: 2588.719)
                                                                      
SET: rps=325.4 (overall: 171.5) avg_msec=2644.667 (overall: 2589.314)
                                                                      
SET: rps=334.7 (overall: 172.4) avg_msec=1933.708 (overall: 2582.245)
                                                                      
SET: rps=280.0 (overall: 173.0) avg_msec=2077.250 (overall: 2577.747)
                                                                      
SET: rps=238.1 (overall: 173.4) avg_msec=2310.178 (overall: 2575.720)
                                                                      
SET: rps=240.0 (overall: 173.7) avg_msec=2547.917 (overall: 2575.511)
                                                                      
SET: rps=219.1 (overall: 174.0) avg_msec=2745.158 (overall: 2576.673)
                                                                      
SET: rps=203.2 (overall: 174.1) avg_msec=2958.015 (overall: 2579.078)
                                                                      
SET: rps=167.3 (overall: 174.1) avg_msec=2999.296 (overall: 2581.249)
                                                                      
SET: rps=239.0 (overall: 174.5) avg_msec=2999.296 (overall: 2584.313)
                                                                      
SET: rps=236.0 (overall: 174.8) avg_msec=2999.296 (overall: 2587.281)
                                                                      
SET: rps=215.1 (overall: 175.0) avg_msec=2999.296 (overall: 2589.962)
                                                                      
SET: rps=175.3 (overall: 175.0) avg_msec=2999.296 (overall: 2592.120)
                                                                      
SET: rps=195.2 (overall: 175.1) avg_msec=2999.296 (overall: 2594.497)
                                                                      
SET: rps=175.3 (overall: 175.1) avg_msec=2999.296 (overall: 2596.608)
                                                                      
SET: rps=152.0 (overall: 175.0) avg_msec=2999.296 (overall: 2598.413)
                                                                      
SET: rps=219.1 (overall: 175.2) avg_msec=2999.296 (overall: 2600.998)
                                                                      
SET: rps=247.0 (overall: 175.6) avg_msec=2999.296 (overall: 2603.871)
                                                                      
SET: rps=207.2 (overall: 175.7) avg_msec=2999.296 (overall: 2606.250)
                                                                      
SET: rps=175.3 (overall: 175.7) avg_msec=2999.296 (overall: 2608.240)
                                                                      
SET: rps=167.3 (overall: 175.7) avg_msec=2999.296 (overall: 2610.121)
                                                                      
SET: rps=179.3 (overall: 175.7) avg_msec=2999.296 (overall: 2612.117)
                                                                      
SET: rps=156.0 (overall: 175.6) avg_msec=2999.296 (overall: 2613.830)
                                                                      
SET: rps=131.5 (overall: 175.4) avg_msec=2999.296 (overall: 2615.267)
                                                                      
SET: rps=131.0 (overall: 175.2) avg_msec=2999.296 (overall: 2616.694)
                                                                      
SET: rps=155.4 (overall: 175.1) avg_msec=2999.296 (overall: 2618.367)
                                                                      
SET: rps=136.0 (overall: 174.9) avg_msec=2999.296 (overall: 2619.814)
                                                                      
SET: rps=135.5 (overall: 174.7) avg_msec=2999.296 (overall: 2621.249)
                                                                      
SET: rps=123.5 (overall: 174.4) avg_msec=2999.296 (overall: 2622.549)
                                                                      
SET: rps=127.5 (overall: 174.2) avg_msec=2999.296 (overall: 2623.881)
                                                                      
SET: rps=119.5 (overall: 174.0) avg_msec=2999.296 (overall: 2625.121)
                                                                      
SET: rps=107.6 (overall: 173.6) avg_msec=2999.296 (overall: 2626.230)
                                                                      
SET: rps=115.5 (overall: 173.4) avg_msec=2999.296 (overall: 2627.414)
                                                                      
SET: rps=116.0 (overall: 173.1) avg_msec=2999.296 (overall: 2628.591)
                                                                      
SET: rps=95.6 (overall: 172.7) avg_msec=2999.296 (overall: 2629.559)
                                                                     
SET: rps=111.6 (overall: 172.4) avg_msec=2999.296 (overall: 2630.682)
                                                                      
SET: rps=104.0 (overall: 172.1) avg_msec=2999.296 (overall: 2631.719)
                                                                      
SET: rps=95.2 (overall: 171.8) avg_msec=2999.296 (overall: 2632.671)
                                                                     
SET: rps=91.6 (overall: 171.4) avg_msec=2999.296 (overall: 2633.578)
                                                                     
SET: rps=91.6 (overall: 171.0) avg_msec=2999.296 (overall: 2634.481)
                                                                     
SET: rps=103.6 (overall: 170.7) avg_msec=2999.296 (overall: 2635.497)
                                                                      
SET: rps=91.6 (overall: 170.4) avg_msec=2999.296 (overall: 2636.390)
                                                                     
SET: rps=99.6 (overall: 170.0) avg_msec=2999.296 (overall: 2637.357)
                                                                     
SET: rps=107.6 (overall: 169.7) avg_msec=2999.296 (overall: 2638.395)
                                                                      
SET: rps=87.6 (overall: 169.4) avg_msec=2999.296 (overall: 2639.236)
                                                                     
SET: rps=107.6 (overall: 169.1) avg_msec=2999.296 (overall: 2640.263)
                                                                      
SET: rps=99.6 (overall: 168.8) avg_msec=2999.296 (overall: 2641.209)
                                                                     
SET: rps=107.6 (overall: 168.5) avg_msec=2999.296 (overall: 2642.225)
                                                                      
SET: rps=103.6 (overall: 168.2) avg_msec=2999.296 (overall: 2643.198)
                                                                      
SET: rps=116.0 (overall: 168.0) avg_msec=2999.296 (overall: 2644.277)
                                                                      
SET: rps=111.6 (overall: 167.8) avg_msec=2999.296 (overall: 2645.313)
                                                                      
SET: rps=99.6 (overall: 167.5) avg_msec=2999.296 (overall: 2646.232)
                                                                     
SET: rps=103.6 (overall: 167.2) avg_msec=2999.296 (overall: 2647.184)
                                                                      
SET: rps=115.5 (overall: 167.0) avg_msec=2999.296 (overall: 2648.239)
                                                                      
SET: rps=107.6 (overall: 166.7) avg_msec=2999.296 (overall: 2649.215)
                                                                      
SET: rps=95.6 (overall: 166.4) avg_msec=2999.296 (overall: 2650.079)
                                                                     
SET: rps=107.6 (overall: 166.1) avg_msec=2999.296 (overall: 2651.045)
                                                                      
SET: rps=111.6 (overall: 165.9) avg_msec=2999.296 (overall: 2652.042)
                                                                      
SET: rps=107.6 (overall: 165.7) avg_msec=2999.296 (overall: 2652.997)
                                                                      
SET: rps=108.0 (overall: 165.4) avg_msec=2999.296 (overall: 2653.947)
                                                                      
SET: rps=107.1 (overall: 165.2) avg_msec=2999.296 (overall: 2654.893)
                                                                      
SET: rps=95.6 (overall: 164.9) avg_msec=2999.296 (overall: 2655.728)
                                                                     
SET: rps=107.6 (overall: 164.6) avg_msec=2999.296 (overall: 2656.664)
                                                                      
SET: rps=99.6 (overall: 164.4) avg_msec=2999.296 (overall: 2657.525)
                                                                     
SET: rps=84.0 (overall: 164.0) avg_msec=2999.296 (overall: 2658.246)
                                                                     
SET: rps=99.2 (overall: 163.8) avg_msec=2999.296 (overall: 2659.099)
                                                                     
SET: rps=95.6 (overall: 163.5) avg_msec=2999.296 (overall: 2659.915)
                                                                     
SET: rps=103.6 (overall: 163.3) avg_msec=2999.296 (overall: 2660.794)
                                                                      
SET: rps=91.6 (overall: 163.0) avg_msec=2999.296 (overall: 2661.568)
                                                                     
SET: rps=87.6 (overall: 162.7) avg_msec=2999.296 (overall: 2662.305)
                                                                     
SET: rps=111.6 (overall: 162.4) avg_msec=2999.296 (overall: 2663.238)
                                                                      
SET: rps=103.6 (overall: 162.2) avg_msec=2999.296 (overall: 2664.100)
                                                                      
SET: rps=87.6 (overall: 161.9) avg_msec=2999.296 (overall: 2664.826)
                                                                     
SET: rps=95.6 (overall: 161.7) avg_msec=2999.296 (overall: 2665.614)
                                                                     
SET: rps=124.0 (overall: 161.5) avg_msec=2999.296 (overall: 2666.627)
                                                                      
SET: rps=67.7 (overall: 161.1) avg_msec=2999.296 (overall: 2667.179)
                                                                     
SET: rps=71.7 (overall: 160.8) avg_msec=2999.296 (overall: 2667.763)
                                                                     
SET: rps=56.0 (overall: 160.4) avg_msec=2999.296 (overall: 2668.215)
                                                                     
SET: rps=83.7 (overall: 160.1) avg_msec=2999.296 (overall: 2668.891)
                                                                     
SET: rps=75.7 (overall: 159.7) avg_msec=2999.296 (overall: 2669.500)
                                                                     
SET: rps=68.0 (overall: 159.4) avg_msec=2999.296 (overall: 2670.044)
                                                                     
SET: rps=63.7 (overall: 159.0) avg_msec=2999.296 (overall: 2670.553)
                                                                     
SET: rps=95.6 (overall: 158.8) avg_msec=2999.296 (overall: 2671.315)
                                                                     
SET: rps=91.6 (overall: 158.5) avg_msec=2999.296 (overall: 2672.041)
                                                                     
SET: rps=75.4 (overall: 158.2) avg_msec=2999.296 (overall: 2672.639)
                                                                     
SET: rps=80.0 (overall: 157.9) avg_msec=2999.296 (overall: 2673.266)
                                                                     
SET: rps=87.6 (overall: 157.6) avg_msec=2999.296 (overall: 2673.953)
                                                                     
SET: rps=91.6 (overall: 157.4) avg_msec=2999.296 (overall: 2674.668)
                                                                     
SET: rps=95.6 (overall: 157.2) avg_msec=2999.296 (overall: 2675.410)
                                                                     
SET: rps=67.7 (overall: 156.8) avg_msec=2999.296 (overall: 2675.934)
                                                                     
SET: rps=63.7 (overall: 156.5) avg_msec=2999.296 (overall: 2676.426)
                                                                     
SET: rps=68.0 (overall: 156.1) avg_msec=2999.296 (overall: 2676.947)
                                                                     
SET: rps=67.7 (overall: 155.8) avg_msec=2999.296 (overall: 2677.466)
                                                                     
SET: rps=75.7 (overall: 155.5) avg_msec=2999.296 (overall: 2678.044)
                                                                     
SET: rps=67.7 (overall: 155.2) avg_msec=2999.296 (overall: 2678.559)
                                                                     
SET: rps=67.7 (overall: 154.9) avg_msec=2999.296 (overall: 2679.073)
                                                                     
SET: rps=71.7 (overall: 154.6) avg_msec=2999.296 (overall: 2679.615)
                                                                     
SET: rps=59.8 (overall: 154.2) avg_msec=2999.296 (overall: 2680.066)
                                                                     
SET: rps=59.8 (overall: 153.9) avg_msec=2999.296 (overall: 2680.515)
                                                                     
SET: rps=75.7 (overall: 153.6) avg_msec=2999.296 (overall: 2681.082)
                                                                     
SET: rps=59.8 (overall: 153.3) avg_msec=2999.296 (overall: 2681.529)
                                                                     
SET: rps=64.0 (overall: 152.9) avg_msec=2999.296 (overall: 2682.004)
                                                                     
SET: rps=63.7 (overall: 152.6) avg_msec=2999.296 (overall: 2682.477)
                                                                     
SET: rps=51.8 (overall: 152.3) avg_msec=2999.296 (overall: 2682.861)
                                                                     
SET: rps=56.0 (overall: 151.9) avg_msec=2999.296 (overall: 2683.273)
                                                                     
SET: rps=59.8 (overall: 151.6) avg_msec=2999.296 (overall: 2683.713)
                                                                     
SET: rps=71.7 (overall: 151.3) avg_msec=2999.296 (overall: 2684.240)
                                                                     
SET: rps=67.7 (overall: 151.0) avg_msec=2999.296 (overall: 2684.735)
                                                                     
SET: rps=71.7 (overall: 150.8) avg_msec=2999.296 (overall: 2685.259)
                                                                     
SET: rps=68.0 (overall: 150.5) avg_msec=2999.296 (overall: 2685.751)
                                                                     
SET: rps=87.6 (overall: 150.2) avg_msec=2999.296 (overall: 2686.387)
                                                                     
SET: rps=83.3 (overall: 150.0) avg_msec=2999.296 (overall: 2686.990)
                                                                     
SET: rps=76.0 (overall: 149.8) avg_msec=2999.296 (overall: 2687.535)
                                                                     
SET: rps=63.7 (overall: 149.5) avg_msec=2999.296 (overall: 2687.992)
                                                                     
SET: rps=75.7 (overall: 149.2) avg_msec=2999.296 (overall: 2688.533)
                                                                     
SET: rps=1597.6 (overall: 154.2) avg_msec=2999.296 (overall: 2699.527)
                                                                       
SET: rps=565.7 (overall: 155.6) avg_msec=2999.296 (overall: 2703.236)
                                                                      
SET: rps=462.2 (overall: 156.6) avg_msec=2999.296 (overall: 2706.198)
                                                                      
SET: rps=344.0 (overall: 157.2) avg_msec=2999.296 (overall: 2708.356)
                                                                      
SET: rps=381.0 (overall: 158.0) avg_msec=2966.080 (overall: 2710.458)
                                                                      
SET: rps=350.6 (overall: 158.6) avg_msec=2837.783 (overall: 2711.402)
                                                                      
